,Unnamed: 0,word,one,two,three,four,five,six,seven,False,convergence,correctness
23,23,adobe,0,3,14,20,42,23,80,101,0.0003640065521179381,0.5024630541871922
24,24,adopt,0,2,10,11,31,31,65,84,0.00030000540009720173,0.5029585798816568
25,25,adore,0,3,17,39,44,35,163,95,0.0006020108361950515,0.592274678111588
26,26,adorn,0,4,12,16,33,27,69,72,0.00032200579610432986,0.5609756097560976
27,27,adult,0,2,12,31,37,30,68,65,0.0003600064801166421,0.632768361581921
28,28,affix,0,0,0,0,1,10,2,70,2.600046800842415e-05,0.13580246913580246
29,29,afire,0,4,17,34,41,28,115,112,0.00047800860415487476,0.5254237288135594
30,30,afoot,0,1,6,23,29,28,48,99,0.00027000486008748155,0.46774193548387094
31,31,afoul,0,1,8,22,24,18,38,77,0.0002220039960719293,0.4866666666666667
32,32,after,0,1,12,33,24,19,111,100,0.0004000072001296023,0.4708994708994709
33,33,again,0,0,8,15,26,32,33,97,0.00022800410407387332,0.4550561797752809
34,34,agape,0,3,15,24,31,33,55,116,0.00032200579610432986,0.4774774774774775
35,35,agate,0,0,15,28,45,36,122,120,0.0004920088561594109,0.5081967213114754
36,36,agent,0,3,10,28,37,27,76,78,0.00036200651611729013,0.5737704918032787
37,37,agile,0,5,18,42,51,36,161,88,0.0006260112682028277,0.6333333333333333
38,38,aging,0,0,8,12,20,22,53,91,0.00023000414007452133,0.40522875816993464
39,39,aglow,0,0,6,12,12,20,24,49,0.00014800266404795285,0.5050505050505051
40,40,agony,0,2,16,29,29,32,72,117,0.0003600064801166421,0.48
41,41,agree,0,4,16,29,37,37,91,129,0.0004280077041386745,0.4880952380952381
42,42,ahead,0,3,12,17,21,17,34,107,0.0002080037440673932,0.3954802259887006
43,43,aider,0,4,14,32,30,31,197,115,0.0006160110881995876,0.4911504424778761
44,44,aisle,0,2,23,51,35,45,146,85,0.0006040108721956995,0.6473029045643154
45,45,alarm,0,0,9,25,29,32,57,106,0.00030400547209849776,0.472636815920398
46,46,album,0,4,6,18,17,21,22,58,0.00017600316805702502,0.532258064516129
47,47,alert,0,8,16,34,37,51,204,74,0.0007000126002268041,0.6636363636363637
48,48,algae,0,2,14,24,44,34,84,119,0.00040400727213089834,0.4978902953586498
49,49,alibi,0,0,6,9,14,18,30,106,0.0001540027720498969,0.30718954248366015
50,50,alien,0,5,27,42,45,52,199,81,0.0007400133202397643,0.6785714285714286
51,51,align,0,4,18,25,36,39,79,72,0.00040200723613025035,0.6288659793814433
52,52,alike,0,4,17,38,48,34,196,118,0.0006740121322183799,0.5444015444015444
53,53,alive,0,4,16,35,50,44,166,108,0.0006300113402041236,0.5797665369649806
54,54,allay,0,3,8,17,32,32,50,142,0.0002840051120920177,0.39316239316239315
55,55,alley,0,6,18,39,35,38,100,135,0.00047200849615293075,0.5018450184501845
56,56,allot,1,8,8,26,37,35,80,85,0.00039000702012636227,0.575
57,57,allow,0,0,4,12,13,25,42,90,0.00019200345606220913,0.375
58,58,alloy,0,1,11,27,27,34,78,127,0.00035600640811534606,0.44052863436123346
59,59,aloft,0,0,18,34,50,31,124,76,0.000514009252166539,0.6363636363636364
60,60,alone,0,4,23,53,54,53,289,97,0.0009520171363084536,0.6584507042253521
61,61,along,0,3,19,33,36,30,88,72,0.00041800752413543446,0.6269430051813472
62,62,aloof,0,0,5,23,20,26,56,103,0.0002600046800842415,0.4180790960451977
63,63,aloud,0,4,13,24,33,34,68,79,0.00035200633611405004,0.5775401069518716
64,64,alpha,0,3,6,8,9,8,8,83,8.40015120272165e-05,0.2905982905982906
65,65,altar,0,1,11,31,33,14,63,108,0.0003060055080991458,0.45454545454545453
66,66,alter,0,6,25,49,40,34,196,81,0.0007000126002268041,0.6553191489361702
67,67,amass,0,1,6,15,12,23,23,108,0.00016000288005184093,0.34545454545454546
68,68,amaze,0,2,11,13,24,27,54,145,0.00026200471608488955,0.34684684684684686
69,69,amber,0,4,13,16,24,21,91,105,0.00033800608410951397,0.4262295081967213
70,70,amble,0,5,15,24,42,27,105,83,0.00043600784814126656,0.576530612244898
71,71,amend,0,1,19,18,17,19,50,83,0.00024800446408035343,0.4713375796178344
72,72,amiss,0,1,6,14,23,26,26,86,0.00019200345606220913,0.44871794871794873
73,73,amity,0,7,15,29,41,28,60,107,0.0003600064801166421,0.5286343612334802
74,74,among,0,0,12,17,25,22,52,78,0.0002560046080829455,0.4935064935064935
75,75,ample,0,3,15,28,37,35,111,78,0.0004580082441483947,0.6020408163265306
76,76,amply,0,4,9,22,22,28,55,97,0.00028000504009072165,0.46703296703296704
77,77,amuse,0,4,26,40,28,39,103,87,0.0004800086401555228,0.6116071428571429
78,78,angel,0,2,13,28,33,35,85,73,0.0003920070561270103,0.6032608695652174
79,79,anger,0,2,17,27,41,38,101,72,0.0004520081361464506,0.6345177664974619
80,80,angle,0,3,14,44,48,32,148,69,0.0005780104041872753,0.6714285714285714
81,81,angry,0,2,23,35,30,16,39,87,0.0002900052200939617,0.5492227979274611
82,82,angst,0,1,9,16,30,21,28,95,0.00021000378006804122,0.4476744186046512
83,83,anime,0,2,25,30,48,26,146,104,0.0005540099721794993,0.5574468085106383
84,84,ankle,0,1,15,25,34,38,93,84,0.0004120074161334904,0.5736040609137056
85,85,annex,0,2,8,15,19,19,37,102,0.00020000360006480116,0.38181818181818183
86,86,annoy,0,4,14,26,31,27,59,104,0.00032200579610432986,0.49514563106796117
87,87,annul,0,2,7,11,20,14,17,90,0.00014200255604600884,0.375
88,88,anode,1,5,20,37,42,30,127,95,0.0005240094321697791,0.5869565217391305
89,89,antic,0,1,9,15,23,23,44,55,0.00023000414007452133,0.5634920634920635
90,90,anvil,0,1,9,21,33,28,51,49,0.00028600514809266566,0.6524822695035462
91,91,aorta,0,3,11,22,25,30,50,97,0.00028200507609136964,0.48404255319148937
92,92,apart,0,3,15,19,32,42,72,107,0.00036600658811858616,0.5091743119266054
93,93,aphid,0,0,7,10,14,19,15,66,0.00013000234004212076,0.43103448275862066
94,94,aping,0,0,10,28,19,27,63,81,0.0002940052920952577,0.509090909090909
95,95,apnea,0,2,10,15,31,28,28,86,0.00022800410407387332,0.5
96,96,apple,0,4,9,18,31,29,66,111,0.00031400565210173786,0.4504950495049505
97,97,apply,0,2,8,14,26,27,36,111,0.0002260040680732253,0.4095744680851064
98,98,apron,0,1,10,25,28,23,65,63,0.00030400547209849776,0.58
99,99,aptly,0,5,13,32,34,33,54,84,0.00034200615611081,0.582089552238806
100,100,arbor,0,4,11,37,23,23,83,95,0.00036200651611729013,0.5077720207253886
101,101,ardor,0,2,17,23,19,29,63,108,0.0003060055080991458,0.45454545454545453
102,102,arena,0,1,11,23,33,30,61,100,0.00031800572410303383,0.494949494949495
103,103,argue,1,3,17,26,36,39,116,112,0.0004760085681542268,0.5213675213675214
104,104,arise,1,5,31,36,58,50,289,122,0.0009400169203045655,0.5973597359735974
105,105,armor,0,5,16,19,21,36,66,97,0.0003260058681056259,0.5
106,106,aroma,0,1,6,19,22,20,55,119,0.00024600442807970544,0.36363636363636365
107,107,arose,0,6,30,42,44,48,326,128,0.0009920178563214137,0.5704697986577181
108,108,array,0,1,10,22,33,40,58,156,0.0003280059041062739,0.40458015267175573
109,109,arrow,0,2,7,16,22,20,39,105,0.00021200381606868924,0.38953488372093026
110,110,arson,0,3,14,24,30,49,70,59,0.0003800068401231222,0.6703910614525139
111,111,artsy,0,3,16,40,46,35,88,112,0.00045600820814774664,0.5555555555555556
112,112,ascot,0,1,14,21,20,33,42,54,0.00026200471608488955,0.6223776223776224
113,113,ashen,1,0,9,21,17,19,41,80,0.00021600388806998526,0.4557823129251701
114,114,aside,0,0,12,23,37,34,103,113,0.00041800752413543446,0.4840182648401826
115,115,askew,0,1,6,12,10,9,15,82,0.00010600190803434462,0.31666666666666665
116,116,assay,0,2,6,18,14,16,20,126,0.00015200273604924888,0.3076923076923077
117,117,asset,0,3,15,12,28,24,58,111,0.00028000504009072165,0.42487046632124353
118,118,atoll,0,1,12,29,25,34,62,85,0.0003260058681056259,0.543010752688172
119,119,atone,0,3,23,44,35,39,128,111,0.0005440097921762592,0.5647058823529412
120,120,attic,0,0,4,9,14,22,19,75,0.0001360024480440648,0.3951612903225806
121,121,audio,0,1,14,16,29,28,44,59,0.00026400475208553754,0.5986394557823129
122,122,audit,0,3,19,28,30,24,66,90,0.000340006120110162,0.5360824742268041
123,123,augur,0,3,7,18,20,23,23,93,0.0001880033840609131,0.4329268292682927
124,124,aunty,0,2,17,27,36,37,86,112,0.0004100073801328424,0.5151515151515151
125,125,avail,0,0,4,18,17,25,48,121,0.00022400403207257732,0.34594594594594597
126,126,avert,0,1,9,23,31,36,120,76,0.0004400079201425626,0.5681818181818182
127,127,avian,0,0,9,14,25,26,27,97,0.00020200363606544917,0.4327485380116959
128,128,avoid,0,2,10,20,24,27,22,78,0.00021000378006804122,0.515527950310559
129,129,await,0,5,14,22,27,30,59,118,0.00031400565210173786,0.4537037037037037
130,130,awake,0,1,5,14,22,25,67,165,0.00026800482408683357,0.28879310344827586
131,131,award,0,1,8,22,22,23,43,105,0.0002380042840771134,0.4198895027624309
132,132,aware,0,8,15,29,25,27,119,150,0.0004460080281445066,0.4094488188976378
133,133,awash,0,1,10,21,16,23,49,120,0.0002400043200777614,0.3717277486910995
134,134,awful,1,1,6,6,12,14,10,67,0.00010000180003240058,0.37383177570093457
135,135,awoke,0,5,11,21,23,25,58,131,0.00028600514809266566,0.39351851851851855
136,136,axial,0,1,6,10,16,19,32,124,0.000168003024054433,0.29545454545454547
137,137,axiom,0,1,7,10,17,26,28,81,0.00017800320405767303,0.4295774647887324
138,138,axion,0,2,9,16,20,18,61,98,0.00025200453608164946,0.3987730061349693
139,139,azure,0,3,9,21,26,22,76,129,0.00031400565210173786,0.38571428571428573
140,140,bacon,0,2,14,25,35,24,79,90,0.0003580064441159941,0.5263157894736842
141,141,badge,0,5,14,39,41,45,113,107,0.000514009252166539,0.5737051792828686
142,142,badly,0,2,16,33,44,49,169,114,0.0006260112682028277,0.5581395348837209
143,143,bagel,0,3,28,34,40,43,140,95,0.0005760103681866274,0.6090534979423868
144,144,baggy,0,2,11,22,27,29,61,145,0.00030400547209849776,0.3855932203389831
145,145,baker,0,1,13,29,37,27,173,137,0.0005600100801814433,0.4385245901639344
146,146,baler,0,5,32,37,55,31,247,108,0.0008140146522637408,0.5970149253731343
147,147,balmy,0,4,16,33,41,34,101,116,0.0004580082441483947,0.5245901639344263
148,148,banal,0,5,9,23,40,31,82,115,0.0003800068401231222,0.484304932735426
149,149,banjo,0,0,11,16,15,19,30,100,0.00018200327605896906,0.37888198757763975
150,150,barge,0,5,28,44,52,37,184,106,0.0007000126002268041,0.6102941176470589
151,151,baron,0,3,16,38,35,43,130,81,0.0005300095401717231,0.625
152,152,basal,0,1,13,24,34,39,82,98,0.00038600694812506624,0.5311004784688995
153,153,basic,0,1,7,18,24,30,62,99,0.0002840051120920177,0.44692737430167595
154,154,basil,0,6,18,30,28,36,111,90,0.0004580082441483947,0.5673076923076923
155,155,basin,0,1,17,27,34,33,95,90,0.00041400745213413843,0.5544554455445545
156,156,basis,0,0,6,13,20,19,40,122,0.00019600352806350515,0.32222222222222224
157,157,baste,0,7,20,27,31,44,252,139,0.0007620137162468925,0.48134328358208955
158,158,batch,0,3,3,21,23,36,125,123,0.0004220075961367305,0.41148325358851673
159,159,bathe,0,2,18,42,35,47,120,105,0.0005280095041710751,0.5783132530120482
160,160,baton,0,3,15,28,34,31,108,92,0.00043800788414191454,0.5467980295566502
161,161,batty,1,4,13,25,29,38,157,151,0.0005340096121730191,0.421455938697318
162,162,bawdy,0,1,14,23,23,35,74,128,0.000340006120110162,0.42857142857142855
163,163,bayou,0,2,11,14,15,24,26,87,0.00018400331205961707,0.43137254901960786
164,164,beach,0,3,14,25,50,35,121,114,0.0004960089281607069,0.5269709543568465
165,165,beady,0,4,15,47,42,44,128,124,0.0005600100801814433,0.5507246376811594
166,166,beard,0,3,17,49,51,36,166,81,0.0006440115922086597,0.6582278481012658
167,167,beast,0,4,30,44,48,46,215,102,0.0007740139322507805,0.6277372262773723
168,168,beech,0,0,7,15,21,21,55,146,0.0002380042840771134,0.3047619047619048
169,169,beefy,1,3,9,18,30,28,36,148,0.00025000450008100147,0.3755274261603376
170,170,befit,0,2,18,30,33,41,65,79,0.0003780068041224742,0.6108374384236454
171,171,began,0,3,15,25,40,27,90,75,0.0004000072001296023,0.5945945945945946
172,172,begat,0,7,18,30,37,30,80,93,0.00040400727213089834,0.5674418604651162
173,173,beget,1,1,16,27,50,36,61,121,0.00038400691212441825,0.5198412698412699
174,174,begin,2,3,9,28,32,34,58,76,0.00033200597610756995,0.5869565217391305
175,175,begun,0,0,11,14,29,26,22,86,0.00020400367206609718,0.4819277108433735
176,176,being,0,3,12,24,39,33,91,105,0.00040400727213089834,0.5138888888888888
177,177,belch,1,2,15,20,20,34,83,103,0.00035000630011340205,0.4717948717948718
178,178,belie,0,5,21,33,43,29,100,134,0.0004620083161496907,0.49433962264150944
179,179,belle,0,5,13,29,35,40,102,144,0.00044800806414515464,0.45864661654135336
180,180,belly,0,2,16,28,41,45,107,120,0.00047800860415487476,0.5238095238095238
181,181,below,0,2,9,12,22,25,39,92,0.00021800392407063328,0.43209876543209874
182,182,bench,0,3,6,29,30,30,79,103,0.0003540063721146981,0.48756218905472637
183,183,beret,1,5,28,48,44,41,138,108,0.0006100109801976436,0.6072727272727273
184,184,berry,0,5,17,28,36,30,116,145,0.0004640083521503387,0.4444444444444444
185,185,berth,0,6,15,25,46,25,98,87,0.0004300077401393225,0.5735294117647058
186,186,beset,0,0,20,28,54,52,90,101,0.00048800878415811486,0.6039215686274509
187,187,betel,0,1,10,44,37,31,111,116,0.0004680084241516347,0.5146443514644351
188,188,bevel,0,1,5,29,24,33,88,132,0.0003600064801166421,0.4107142857142857
189,189,bezel,0,1,7,12,23,35,61,137,0.0002780050040900736,0.3627906976744186
190,190,bible,0,2,15,33,35,27,129,131,0.0004820086761561708,0.4609053497942387
191,191,bicep,1,5,13,24,31,32,31,86,0.0002740049320887776,0.5520833333333334
192,192,biddy,0,3,7,16,28,32,42,125,0.0002560046080829455,0.4075829383886256
193,193,bigot,0,5,16,28,24,32,49,93,0.0003080055440997938,0.5303030303030303
194,194,bilge,0,3,22,37,47,35,135,92,0.0005580100441807953,0.6101694915254238
195,195,billy,0,0,5,25,32,34,128,146,0.00044800806414515464,0.39669421487603307
196,196,binge,0,5,14,36,30,37,138,120,0.000520009360168483,0.5041322314049587
197,197,bingo,0,0,8,14,27,28,58,77,0.00027000486008748155,0.5
198,198,biome,0,8,25,28,31,37,83,136,0.0004240076321373785,0.4867924528301887
199,199,birch,0,2,9,18,29,30,36,109,0.00024800446408035343,0.4467005076142132
200,200,birth,0,4,7,22,38,28,81,96,0.0003600064801166421,0.5076923076923077
201,201,bison,0,2,10,34,27,29,46,69,0.0002960053280959057,0.5964912280701754
202,202,bitty,0,2,10,27,29,30,102,139,0.0004000072001296023,0.41350210970464135
203,203,black,0,6,12,18,27,44,94,119,0.00040200723613025035,0.47345132743362833
204,204,blade,1,4,25,42,48,47,262,113,0.000858015444277997,0.5964285714285714
205,205,blame,0,5,15,45,50,47,267,118,0.000858015444277997,0.5785714285714286
206,206,bland,0,7,12,36,37,43,109,99,0.00048800878415811486,0.5769230769230769
207,207,blank,0,6,14,37,32,36,118,108,0.0004860087481574668,0.5364806866952789
208,208,blare,0,2,27,39,60,52,337,119,0.001034018612335022,0.6020066889632107
209,209,blast,0,6,16,35,48,44,157,115,0.0006120110161982916,0.5643939393939394
210,210,blaze,0,3,20,21,33,38,174,153,0.0005780104041872753,0.4291044776119403
211,211,bleak,0,1,13,23,31,32,76,98,0.00035200633611405004,0.5050505050505051
212,212,bleat,0,6,15,39,40,48,201,83,0.0006980125642261561,0.6406926406926406
213,213,bleed,0,2,12,32,30,44,113,116,0.00046600838815098674,0.5084745762711864
214,214,bleep,0,3,16,26,36,39,52,101,0.000344006192111458,0.5429864253393665
215,215,blend,0,5,11,28,35,32,87,92,0.0003960071281283063,0.5467980295566502
216,216,bless,0,2,7,10,26,22,48,114,0.00023000414007452133,0.3701657458563536
217,217,blimp,0,1,11,21,29,28,44,93,0.00026800482408683357,0.4918032786885246
218,218,blind,0,1,14,31,37,40,92,102,0.0004300077401393225,0.5466666666666666
219,219,blink,0,1,12,27,38,46,74,100,0.0003960071281283063,0.5535714285714286
220,220,bliss,0,2,6,13,19,26,41,137,0.00021400385206933725,0.3251231527093596
221,221,blitz,0,2,10,13,26,33,48,103,0.00026400475208553754,0.44919786096256686
222,222,bloat,0,3,20,49,44,48,174,83,0.0006760121682190279,0.6639676113360324
223,223,block,0,1,17,22,37,26,69,107,0.000344006192111458,0.49047619047619045
224,224,bloke,0,3,22,27,51,40,148,119,0.0005820104761885714,0.5458015267175572
225,225,blond,0,1,15,28,30,46,84,99,0.00040800734413219436,0.547945205479452
226,226,blood,0,7,10,15,33,38,77,104,0.0003600064801166421,0.4975845410628019
227,227,bloom,1,2,9,15,23,28,63,111,0.00028200507609136964,0.4126984126984127
228,228,blown,0,2,9,23,31,25,77,95,0.00033400601210821794,0.4864864864864865
229,229,bluer,2,5,23,33,32,46,153,115,0.0005880105841905154,0.55078125
230,230,bluff,0,0,1,5,14,12,24,111,0.00011200201603628866,0.22377622377622378
231,231,blunt,0,3,10,30,32,36,98,122,0.00041800752413543446,0.47639484978540775
232,232,blurb,0,3,10,11,24,22,42,97,0.00022400403207257732,0.41916167664670656
233,233,blurt,0,2,20,32,44,36,105,91,0.00047800860415487476,0.5955555555555555
234,234,blush,0,1,6,33,30,30,91,103,0.0003820068761237702,0.49261083743842365
235,235,board,0,3,23,25,51,35,118,109,0.0005100091801652429,0.556910569105691
236,236,boast,0,6,21,44,60,51,182,101,0.0007280131042358762,0.6431095406360424
237,237,bobby,0,2,6,12,8,21,51,166,0.00020000360006480116,0.22790697674418606
238,238,boney,0,8,25,32,54,55,201,130,0.0007500135002430044,0.5723684210526315
239,239,bongo,0,2,7,17,20,23,32,104,0.00020200363606544917,0.3988439306358382
240,240,bonus,0,0,14,20,34,28,46,73,0.0002840051120920177,0.5680473372781065
241,241,booby,0,3,8,14,24,24,82,186,0.00031000558010044183,0.28185328185328185
242,242,boost,0,4,13,28,42,38,92,143,0.0004340078121406185,0.4664179104477612
243,243,booth,0,4,20,25,44,36,107,103,0.00047200849615293075,0.5560344827586207
244,244,booty,0,3,12,47,37,45,134,143,0.0005560100081801472,0.5017421602787456
245,245,booze,0,3,15,25,21,32,56,176,0.00030400547209849776,0.35294117647058826
246,246,boozy,0,0,12,17,27,33,81,169,0.000340006120110162,0.3449612403100775
247,247,borax,0,1,14,23,22,31,51,97,0.0002840051120920177,0.48404255319148937
248,248,borne,1,5,32,49,44,51,169,110,0.0007020126362274521,0.6232876712328768
249,249,bosom,0,0,6,8,22,11,23,122,0.00014000252004536082,0.2781065088757396
250,250,bossy,0,5,11,21,25,29,78,164,0.00033800608410951397,0.3568627450980392
251,251,botch,0,3,14,22,38,31,79,95,0.00037400673212117816,0.5320197044334976
252,252,bough,0,0,10,19,29,27,68,114,0.0003060055080991458,0.4271356783919598
253,253,boule,0,4,36,49,47,39,174,113,0.0006980125642261561,0.6076388888888888
254,254,bound,0,2,7,23,21,27,115,140,0.00039000702012636227,0.36363636363636365
255,255,bowel,0,2,16,21,30,34,127,125,0.00046000828014904267,0.4517543859649123
256,256,boxer,0,3,12,14,21,29,93,159,0.000344006192111458,0.3319327731092437
257,257,brace,0,4,25,52,67,58,321,110,0.0010540189723415021,0.6518987341772152
258,258,braid,0,6,23,33,38,43,120,102,0.000526009468170427,0.5836734693877551
259,259,brain,0,4,16,25,43,41,160,119,0.0005780104041872753,0.5201612903225806
260,260,brake,0,1,17,42,44,38,256,151,0.0007960143282579086,0.48464163822525597
261,261,brand,0,1,22,30,47,35,136,115,0.0005420097561756111,0.54
262,262,brash,0,5,9,34,36,54,128,114,0.000532009576172371,0.5476190476190477
263,263,brass,0,2,13,17,29,41,91,126,0.00038600694812506624,0.4473684210526316
264,264,brave,0,3,17,33,49,49,236,139,0.0007740139322507805,0.5206896551724138
265,265,bravo,0,1,14,26,35,32,51,95,0.00031800572410303383,0.5320197044334976
266,266,brawl,0,8,12,24,33,34,99,111,0.00042000756013608245,0.5
267,267,brawn,0,1,9,25,44,38,86,99,0.0004060073081315464,0.5416666666666666
268,268,bread,0,4,7,37,22,47,156,98,0.0005460098281769072,0.5441860465116279
269,269,break,0,1,7,24,35,53,112,94,0.0004640083521503387,0.5607476635514018
270,270,breed,0,3,9,30,36,38,132,136,0.0004960089281607069,0.4603174603174603
271,271,briar,0,2,12,22,35,35,70,153,0.00035200633611405004,0.4092664092664093
272,272,bribe,0,3,11,20,31,34,142,177,0.0004820086761561708,0.358695652173913
273,273,brick,0,7,12,19,31,29,104,134,0.00040400727213089834,0.4224137931034483
274,274,bride,0,5,15,38,56,47,232,126,0.0007860141482546686,0.5609756097560976
275,275,brief,0,1,18,34,41,40,112,117,0.0004920088561594109,0.5338645418326693
276,276,brine,0,9,27,38,47,54,303,139,0.0009560172083097495,0.5573248407643312
277,277,bring,1,1,11,28,32,39,129,110,0.0004820086761561708,0.5045045045045045
278,278,brink,0,0,10,32,42,46,132,110,0.0005240094321697791,0.5416666666666666
279,279,briny,0,6,22,31,36,54,145,151,0.0005880105841905154,0.49666666666666665
280,280,brisk,0,7,13,21,33,26,105,137,0.0004100073801328424,0.4219409282700422
281,281,broad,0,9,25,31,41,36,132,89,0.0005480098641775552,0.6147186147186147
282,282,broil,0,0,17,41,31,33,97,116,0.00043800788414191454,0.5126050420168067
283,283,broke,0,6,22,29,50,26,182,145,0.0006300113402041236,0.4784172661870504
284,284,brood,0,2,10,29,30,36,97,116,0.00040800734413219436,0.4798206278026906
285,285,brook,2,2,13,23,34,20,64,128,0.00031600568810238584,0.42342342342342343
286,286,broom,0,5,11,18,31,31,70,109,0.00033200597610756995,0.4682926829268293
287,287,broth,0,5,19,32,30,42,113,102,0.0004820086761561708,0.5565217391304348
288,288,brown,0,1,12,15,29,21,121,123,0.0003980071641289543,0.3880597014925373
289,289,brunt,1,4,14,36,32,49,147,113,0.0005660101881833873,0.5461847389558233
290,290,brush,0,6,18,21,39,36,67,99,0.00037400673212117816,0.547945205479452
291,291,brute,0,5,30,26,52,40,159,126,0.0006240112322021796,0.5483870967741935
292,292,buddy,0,2,4,18,19,35,63,129,0.00028200507609136964,0.37681159420289856
293,293,budge,0,0,12,31,33,44,118,103,0.0004760085681542268,0.5381165919282511
294,294,buggy,0,0,13,19,27,26,51,122,0.0002720048960881296,0.4106280193236715
295,295,bugle,0,2,22,49,51,36,105,82,0.0005300095401717231,0.6611570247933884
296,296,build,0,2,20,29,40,39,69,86,0.0003980071641289543,0.6018518518518519
297,297,built,0,1,19,28,40,57,125,104,0.0005400097201749631,0.5823293172690763
298,298,bulge,0,3,17,42,39,41,84,90,0.0004520081361464506,0.6120689655172413
299,299,bulky,0,3,16,19,30,39,80,106,0.00037400673212117816,0.5023474178403756
300,300,bully,0,1,11,22,37,22,151,145,0.00048800878415811486,0.3907563025210084
301,301,bunch,0,4,10,21,24,33,60,95,0.00030400547209849776,0.4919786096256685
302,302,bunny,0,2,9,19,28,40,75,151,0.000346006228112106,0.39357429718875503
303,303,burly,1,3,20,38,43,39,153,107,0.0005940106921924595,0.5737051792828686
304,304,burnt,0,3,19,38,38,50,74,81,0.0004440079921438586,0.6462882096069869
305,305,burst,0,4,14,44,44,39,92,81,0.0004740085321535788,0.6415929203539823
306,306,bused,0,1,10,37,27,34,37,100,0.0002920052560946097,0.5215311004784688
307,307,bushy,0,4,11,28,21,23,75,112,0.0003240058321049779,0.4371859296482412
308,308,butch,0,1,10,24,33,28,65,85,0.00032200579610432986,0.5303867403314917
309,309,butte,1,5,14,31,44,23,73,129,0.0003820068761237702,0.4777327935222672
310,310,buxom,0,1,7,10,9,17,14,86,0.00011600208803758467,0.3384615384615385
311,311,buyer,0,2,26,19,25,29,106,119,0.00041400745213413843,0.4590909090909091
312,312,bylaw,0,0,7,13,10,19,8,67,0.00011400205203693666,0.4224137931034483
313,313,cabal,0,2,8,14,36,35,73,114,0.000336006048108866,0.45454545454545453
314,314,cabby,0,3,6,18,20,25,63,154,0.00027000486008748155,0.3185840707964602
315,315,cabin,0,4,13,38,38,41,92,69,0.0004520081361464506,0.6600985221674877
316,316,cable,0,4,20,39,52,49,221,109,0.0007700138602494844,0.6007326007326007
317,317,cacao,0,0,6,12,18,29,42,121,0.00021400385206933725,0.34946236559139787
318,318,cache,0,0,14,22,33,36,78,136,0.00036600658811858616,0.43568464730290457
319,319,cacti,0,1,7,14,19,24,43,105,0.00021600388806998526,0.38235294117647056
320,320,caddy,0,2,8,18,35,31,101,148,0.00039000702012636227,0.3884297520661157
321,321,cadet,1,3,26,47,55,52,151,91,0.0006700120602170839,0.6690909090909091
322,322,cagey,0,4,22,33,44,55,144,141,0.0006040108721956995,0.5284280936454849
323,323,cairn,0,7,24,41,46,50,124,83,0.0005840105121892194,0.6693227091633466
324,324,camel,0,11,18,27,39,51,166,102,0.0006240112322021796,0.5887096774193549
325,325,cameo,0,3,18,22,40,39,87,103,0.00041800752413543446,0.5422222222222223
326,326,canal,0,2,13,27,47,41,131,99,0.0005220093961691311,0.5676855895196506
327,327,candy,0,5,12,37,32,33,200,138,0.0006380114842067157,0.46303501945525294
328,328,canny,0,1,6,28,50,47,179,152,0.0006220111962015316,0.4647887323943662
329,329,canoe,0,7,22,40,46,40,201,131,0.0007120128162306921,0.541958041958042
330,330,canon,0,2,10,29,36,33,104,106,0.0004280077041386745,0.5092592592592593
