,Unnamed: 0,Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),Mean,Std,Skew,Kurt,entropy,text_rate,green_score,yellow_score,conbine_score,target
65,65,2022/3/13,267,focus,179436,8937,1,4,23,36,24,10,1,4.102040816,1.064163904,-0.102264344,-0.215225537,9612.118298,4.80E-05,0.254655695,0.224426159,0,1
66,66,2022/3/14,268,smelt,185406,9373,0,5,19,33,28,13,2,4.255102041,1.072011503,-0.12273057,-0.637812475,11787.03155,1.01E-06,0.430922477,0.316933738,0.79,0
67,67,2022/3/15,269,tease,202855,10024,1,16,32,30,16,6,1,3.613861386,1.134257702,0.226210316,-0.52351669,11766.05852,1.16E-06,0.558250325,0.418536164,3.69,3
68,68,2022/3/16,270,cater,217856,11234,1,7,19,22,19,18,15,4.220930233,1.288600853,-0.187894513,-0.859630822,13041.41122,1.40E-06,0.495019489,0.372975314,4.74,0
69,69,2022/3/17,271,movie,169071,8847,1,5,18,30,26,16,3,4.28125,1.161026171,-0.281690141,-0.439799063,10503.40892,1.12E-05,0.439584236,0.270333478,0,0
70,70,2022/3/18,272,saute,179830,9304,1,8,31,34,19,6,1,3.808080808,1.060557959,0.083088294,-0.303046553,12981.51311,2.14E-07,0.604157644,0.35236033,1.2,3
71,71,2022/3/19,273,allow,156311,8515,0,5,21,32,26,14,3,4.234693878,1.09545462,-0.054866344,-0.743330558,8990.122104,7.48E-05,0.260285838,0.290515375,1.67,0
72,72,2022/3/20,274,renew,154987,8417,0,4,20,33,27,13,2,4.257731959,1.057894724,-0.057437722,-0.677950287,9721.838129,4.99E-06,0.354265916,0.357210914,3.99,0
73,73,2022/3/21,275,their,173636,9200,2,14,36,30,13,4,0,3.505050505,1.076598998,0.205496214,-0.183025813,12304.78945,0.00179912,0.36379385,0.338934604,6.63,3
74,74,2022/3/22,276,slosh,160161,8807,0,2,19,36,27,13,2,4.309278351,0.998564173,0.035085661,-0.662791397,9568.857596,7.80E-08,0.483326115,0.276483327,0,2
75,75,2022/3/23,277,purge,156785,8555,1,4,22,35,26,11,2,4.151515152,1.076504222,-0.157833356,-0.254976002,11143.62606,1.74E-06,0.427457774,0.283066263,0.54,0
76,76,2022/3/24,278,chest,169066,9318,1,14,35,31,14,5,1,3.58,1.078702925,0.27105622,-0.305022487,11454.51154,2.34E-05,0.408401906,0.302208749,6.06,3
77,77,2022/3/25,279,depot,150197,8562,0,5,29,36,20,7,1,3.948453608,0.998670601,0.227436057,-0.471243429,11323.0271,4.14E-06,0.343871806,0.300563014,0.76,1
78,78,2022/3/26,280,epoxy,149507,9376,0,2,13,31,33,18,3,4.536082474,1.005775647,-0.250796286,-0.563297504,8759.705962,2.00E-06,0.321784322,0.243308792,0,2
79,79,2022/3/27,281,nymph,165468,9935,1,2,18,44,26,26,9,4.452991453,1.097750042,-0.190468395,-0.363785307,8434.234129,9.26E-07,0.13295799,0.178865309,0,0
80,80,2022/3/28,282,found,173696,10613,1,6,17,22,20,21,14,4.344827586,1.284993727,-0.304318525,-0.791927265,9771.396971,0.000423381,0.380684279,0.209094846,2.22,0
81,81,2022/3/29,283,shall,149070,8494,0,3,17,30,28,17,4,4.410526316,1.071101124,-0.152493358,-0.750101292,10142.83445,0.000680749,0.490255522,0.299870075,2.6,2
82,82,2022/3/30,284,stove,158139,9318,0,5,16,24,27,21,6,4.462365591,1.169129258,-0.313004299,-0.826059466,11171.35161,5.49E-06,0.49891728,0.305933305,2.92,0
83,83,2022/3/31,285,lowly,135219,8469,0,2,9,26,32,24,8,4.720430108,1.019862856,-0.454509111,-0.416539805,8154.487764,1.75E-06,0.397574708,0.242789086,0,2
84,84,2022/4/1,286,snout,144648,8913,1,4,19,27,26,18,5,4.336842105,1.175276239,-0.286816545,-0.533585387,11602.70044,1.58E-06,0.446080554,0.276223473,0.87,0
85,85,2022/4/2,287,trope,155079,9315,1,16,33,28,15,6,1,3.585858586,1.137160215,0.282233732,-0.496732397,12536.21334,5.75E-07,0.489822434,0.344218276,0.73,3
86,86,2022/4/3,288,fewer,124532,7931,0,2,10,24,32,26,6,4.744680851,1.041032325,-0.494148305,-0.479847279,8754.624422,1.81E-05,0.403637939,0.327414466,2.05,2
87,87,2022/4/4,289,shawl,129651,7943,0,3,16,31,30,16,3,4.416666667,1.047483757,-0.186804907,-0.648814293,10655.90838,1.42E-06,0.430922477,0.254655696,0.93,2
88,88,2022/4/5,290,natal,121356,7702,0,2,14,32,32,17,3,4.494845361,1.006409473,-0.198283418,-0.601844355,10317.66555,8.83E-07,0.333044608,0.343698571,2.58,2
89,89,2022/4/6,291,comma,117856,7560,0,2,13,33,33,17,3,4.510204082,0.992264962,-0.21624325,-0.527340093,8799.186734,1.83E-06,0.289735816,0.245560848,1.91,2
90,90,2022/4/7,292,foray,117761,7575,0,2,14,31,31,19,4,4.525773196,1.026381729,-0.212407603,-0.66878128,10934.90668,4.36E-07,0.477695972,0.283932438,1.97,2
91,91,2022/4/8,293,scare,141158,9010,1,12,23,26,21,13,4,3.96875,1.262051282,-0.034523079,-0.851439443,12995.99543,2.26E-06,0.555651797,0.367691642,2.92,0
92,92,2022/4/9,294,stair,134210,8537,2,21,36,26,11,4,1,3.35,1.10792599,0.381072018,-0.247576541,12739.49318,1.64E-06,0.484192291,0.341186661,1.05,3
93,93,2022/4/10,295,black,126241,7894,1,10,31,34,18,6,1,3.76,1.078146558,0.104331377,-0.350097503,9956.31865,0.000115219,0.407968818,0.230056302,0,3
94,94,2022/4/11,296,squad,109828,7236,0,3,20,33,27,14,2,4.298969072,1.046988302,-0.026589838,-0.728661563,9142.609326,2.76E-06,0.352966652,0.219229104,0,2
95,95,2022/4/12,297,royal,114907,7275,1,5,24,36,23,9,1,4.040816327,1.068265496,-0.081199049,-0.238316373,11826.18315,2.16E-05,0.316154179,0.326115201,1.82,1
96,96,2022/4/13,298,chunk,123255,7835,1,4,29,42,18,5,1,3.878787879,0.956347505,0.035821963,0.206028935,9106.671624,1.15E-06,0.347336509,0.182849719,0.6,1
97,97,2022/4/14,299,mince,113448,7356,0,6,24,35,24,10,1,4.080808081,1.060557959,0.041939838,-0.620475895,11395.37006,4.33E-07,0.440450411,0.282719792,3.08,1
98,98,2022/4/15,300,shame,129991,8522,1,11,22,25,21,15,5,4.042105263,1.280754625,-0.078619711,-0.88360009,11856.61129,1.11E-05,0.565179731,0.309744479,1.72,0
99,99,2022/4/16,301,cheek,107987,7035,0,3,19,40,28,9,1,4.212121212,0.956347505,-0.018070049,-0.39554604,8671.323127,9.36E-06,0.411433521,0.305933306,3.67,1
100,100,2022/4/17,302,ample,106681,7008,0,4,20,35,27,11,2,4.216494845,1.02772699,-0.04298716,-0.579841931,11432.4053,1.29E-05,0.354699004,0.311996536,0.83,1
101,101,2022/4/18,303,flair,112383,7341,1,8,30,36,18,6,1,3.808080808,1.050990564,0.075358811,-0.223710519,11652.06291,7.47E-07,0.437851884,0.302035514,0,3
102,102,2022/4/19,304,foyer,108899,8198,0,2,10,19,19,23,26,4.698630137,1.130946161,-0.412753979,-0.823083786,10986.70088,9.32E-07,0.421394543,0.306019922,2.05,2
103,103,2022/4/20,305,cargo,102007,6796,0,5,20,34,27,12,2,4.214285714,1.061862053,-0.076702961,-0.623779202,11419.26778,1.55E-05,0.346037246,0.295365959,1.07,0
104,104,2022/4/21,306,oxide,97955,6960,0,2,11,30,33,21,4,4.618556701,1.009677901,-0.325084861,-0.50921157,9760.622635,1.65E-05,0.351667388,0.26704201,0.76,2
105,105,2022/4/22,307,plant,119232,7731,2,19,39,28,10,3,0,3.336633663,1.046230648,0.332839125,-0.077213509,11963.32124,0.000117389,0.468601126,0.290861845,3.03,3
106,106,2022/4/23,308,olive,95562,6482,1,6,25,34,23,10,1,4.03030303,1.105126214,-0.05983013,-0.390727571,11091.87828,7.41E-06,0.421827631,0.304980512,1.45,0
107,107,2022/4/24,309,inert,97452,6743,0,7,27,34,22,9,1,3.98989899,1.068322101,0.119493707,-0.630882902,12328.6262,3.55E-06,0.30359463,0.355045474,5.17,1
108,108,2022/4/25,310,askew,91548,6549,0,3,13,29,32,19,4,4.53125,1.05032857,-0.32526811,-0.544376774,9903.60597,2.68E-07,0.217843222,0.283845822,0.87,2
109,109,2022/4/26,311,heist,103153,6830,1,13,32,31,16,6,1,3.666666667,1.110100551,0.196900393,-0.432545015,12228.76775,9.49E-08,0.433087917,0.319099178,5.25,3
110,110,2022/4/27,312,shown,98967,6564,0,6,26,36,22,8,1,4,1.030157507,0.11200677,-0.535502959,10007.15804,0.000190543,0.392810741,0.223040277,0,1
111,111,2022/4/28,313,zesty,88974,6315,0,2,12,27,30,22,7,4.623655914,1.04638629,-0.32919078,-0.651908645,9585.202201,5.28E-08,0.358163707,0.26773495,2.39,2
112,112,2022/4/29,314,trash,106652,7001,2,19,34,27,13,4,1,3.424242424,1.119982946,0.276033688,-0.383677857,12278.10747,3.22E-06,0.446080554,0.316673885,1.56,3
113,113,2022/4/30,315,larva,77991,5749,0,2,10,25,35,23,4,4.705263158,1.014356775,-0.475421664,-0.387384959,9190.783406,3.09E-06,0.286704201,0.321784323,1.07,2
114,114,2022/5/1,316,forgo,77658,5699,0,1,9,26,37,23,3,4.75,0.957427108,-0.409478123,-0.444731405,8285.175277,5.82E-07,0.307925509,0.25482893,1.28,2
115,115,2022/5/2,317,story,95643,6530,1,10,23,29,24,11,2,4,1.195228609,-0.107570575,-0.68,11591.26826,9.77E-05,0.519272412,0.300649631,3.37,0
116,116,2022/5/3,318,hairy,85817,5941,1,8,24,33,23,10,1,4,1.137070487,-0.082448715,-0.486328125,11506.12742,2.82E-06,0.499350368,0.290428757,0.93,0
117,117,2022/5/4,319,train,107750,7243,6,26,32,22,10,3,0,3.131313131,1.177623567,0.338266653,-0.352696043,12821.71502,4.32E-05,0.437418796,0.33295799,3.12,3
118,118,2022/5/5,320,homer,85979,6313,0,3,16,26,24,19,12,4.454545455,1.117109612,-0.179464607,-0.868339108,11388.49097,1.61E-07,0.406669554,0.310350801,3.39,0
119,119,2022/5/6,321,badge,76292,5482,0,4,20,35,26,12,2,4.226804124,1.040471291,-0.023631621,-0.610219426,10831.93371,2.44E-06,0.454742313,0.276136856,0,1
120,120,2022/5/7,322,midst,74458,5233,0,3,25,39,24,9,1,4.11,0.978723659,0.162729434,-0.522612117,10685.74766,1.34E-05,0.349501949,0.240450411,1.05,1
121,121,2022/5/8,323,canny,72518,5256,0,2,10,30,34,20,4,4.625,0.992156742,-0.347967293,-0.404635928,9458.903248,3.02E-07,0.513209181,0.261585101,1.99,2
122,122,2022/5/9,324,shine,88932,6146,1,14,32,30,17,6,1,3.66,1.124455424,0.189196298,-0.513317309,12173.24896,4.71E-06,0.597228237,0.305586835,3.88,3
123,123,2022/5/10,325,gecko,74412,5489,0,2,16,38,29,12,2,4.340206186,0.962027476,-0.028294311,-0.488304937,9634.041541,9.84E-08,0.227371156,0.257947164,0,2
124,124,2022/5/11,326,farce,79446,5688,0,9,26,32,21,9,1,3.948453608,1.10641181,0.101809337,-0.68940043,12141.32759,1.70E-06,0.508445214,0.329666523,1.72,3
125,125,2022/5/12,327,slung,75673,5419,0,2,16,37,31,13,2,4.373737374,0.970117754,-0.073388489,-0.526417425,10461.70289,1.19E-06,0.412732785,0.236725856,0.95,2
126,126,2022/5/13,328,tipsy,77585,5522,0,6,33,38,17,5,1,3.818181818,0.957307212,0.300304913,-0.271474813,10692.01802,3.32E-07,0.407968818,0.247379818,1.34,1
127,127,2022/5/14,329,metal,73225,5290,1,10,31,34,18,7,1,3.782178218,1.09548091,0.122374434,-0.377783973,12109.92777,6.04E-05,0.336076223,0.343525336,1.88,3
128,128,2022/5/15,330,yield,67115,4963,0,4,16,29,29,18,4,4.427083333,1.096821085,-0.24038128,-0.70086764,11011.37703,5.14E-05,0.287570377,0.297358164,0,0
129,129,2022/5/16,331,delve,68349,5179,0,2,14,32,33,16,2,4.484536082,0.99600648,-0.207741941,-0.56239883,9008.989324,6.20E-07,0.403204851,0.322304029,1.59,2
130,130,2022/5/17,332,being,70722,5142,0,4,22,37,26,10,1,4.161616162,1.012119196,0.02349489,-0.550419358,10504.34867,0.000635729,0.391078389,0.265309658,3.96,1
131,131,2022/5/18,333,scour,73933,5544,0,8,34,35,17,5,1,3.767676768,0.993191802,0.291829824,-0.369602709,11429.1227,9.45E-07,0.407968818,0.282286704,2.2,1
132,132,2022/5/19,334,glass,70920,5162,0,4,19,33,27,14,3,4.288659794,1.064504753,-0.081356988,-0.676814096,9620.044732,5.95E-05,0.358596795,0.289042877,0.87,0
133,133,2022/5/20,335,gamer,69884,5238,1,4,17,28,26,18,6,4.361702128,1.165561355,-0.329326956,-0.434576456,11629.30937,7.57E-08,0.437418796,0.322910351,2.84,0
134,134,2022/5/21,336,scrap,66814,4973,1,9,28,34,20,8,1,3.87,1.110450359,0.038783424,-0.427029565,11328.19927,6.35E-06,0.340407103,0.292767432,0.69,3
135,135,2022/5/22,337,money,67909,4928,1,7,26,36,21,8,1,3.939393939,1.080760879,-0.023630022,-0.299632135,11042.86465,0.000188195,0.52187094,0.285491554,2.45,3
136,136,2022/5/23,338,hinge,66431,4906,0,5,25,37,22,9,2,4.051020408,1.02392252,0.126049143,-0.524234071,10993.70158,2.68E-06,0.391944565,0.27457774,4.14,1
137,137,2022/5/24,339,album,63380,4809,0,5,26,35,24,9,1,4.060606061,1.032973367,0.098711458,-0.612978099,9884.10962,4.07E-06,0.225205717,0.238458207,1.09,1
138,138,2022/5/25,340,vouch,62723,4835,0,2,9,25,33,24,6,4.731182796,1.017479333,-0.48537585,-0.375040468,9204.227507,5.94E-07,0.335210048,0.193417064,1.47,2
139,139,2022/5/26,341,asset,63188,4733,0,7,28,34,21,8,1,3.948979592,1.053395375,0.154146059,-0.589213546,10853.06282,1.34E-05,0.349501949,0.369857082,1.8,1
140,140,2022/5/27,342,tiara,63846,4842,0,8,36,33,17,6,1,3.77,1.018381068,0.357677743,-0.410160037,10923.23871,2.73E-07,0.3763534,0.367778259,3.1,1
141,141,2022/5/28,343,crept,60069,4562,0,4,27,38,22,7,1,4.010204082,0.974102391,0.178328409,-0.458143411,11925.02059,3.58E-06,0.409268081,0.320138588,1.85,1
142,142,2022/5/29,344,bayou,56839,4435,0,6,17,33,29,13,2,4.265306122,1.083748412,-0.203956725,-0.574471858,9938.050833,3.64E-07,0.276743179,0.251017756,0.87,0
143,143,2022/5/30,345,atoll,60969,4741,0,6,28,36,21,8,1,3.96969697,1.029411379,0.171674721,-0.529306549,10473.69981,3.57E-07,0.336509311,0.336855782,3.11,1
144,144,2022/5/31,346,manor,62768,4802,0,6,27,34,21,10,2,4.020408163,1.068850153,0.159980852,-0.637673944,11806.75699,4.18E-06,0.386314422,0.304374187,3.84,1
145,145,2022/6/1,347,creak,63241,4797,0,5,21,32,25,14,3,4.226804124,1.098313183,-0.036937187,-0.74751052,11589.66255,4.55E-07,0.39714162,0.328020789,2.54,0
146,146,2022/6/2,348,showy,61278,4770,0,2,16,37,30,13,2,4.367346939,0.972979383,-0.056502167,-0.53393913,9577.690804,1.02E-06,0.494153313,0.210134257,0,2
147,147,2022/6/3,349,peach,65431,4957,1,13,38,32,13,3,0,3.52,1.004788535,0.240938177,-0.154374738,11390.55271,2.90E-06,0.422260719,0.297271547,1.29,3
148,148,2022/6/4,350,froth,58263,4432,0,5,22,35,25,11,1,4.153061224,1.053197666,0.006406362,-0.617984714,10794.62143,7.80E-07,0.398873971,0.259419662,4.29,1
